"ZIPCODE","STATE","YEAR","Latitude","Longitude","A00100","A07260"
49107,"MI",2009,41.82,-86.36,193299,272
49111,"MI",2009,41.98,-86.3,70004,72
49112,"MI",2009,41.79,-86.08,212827,260
49113,"MI",2009,41.8,-86.49,33630,48
49116,"MI",2009,41.85,-86.66,16024,0
49117,"MI",2009,41.79,-86.74,110093,88
49120,"MI",2009,41.83,-86.24,712075,877
49125,"MI",2009,41.89,-86.58,43997,46
49126,"MI",2009,42.03,-86.38,21209,32
49127,"MI",2009,42.01,-86.52,311616,284
49128,"MI",2009,41.79,-86.61,68082,77
49129,"MI",2009,41.81,-86.68,14939,8
49130,"MI",2009,41.78,-85.86,44290,43
49201,"MI",2009,42.19,-84.3,847804,1000
49202,"MI",2009,42.27,-84.41,250760,276
49203,"MI",2009,42.24,-84.4,645516,849
49220,"MI",2009,41.98,-84.34,43758,50
49221,"MI",2009,41.89,-84.04,638467,582
49224,"MI",2009,42.24,-84.75,181317,245
49227,"MI",2009,41.95,-84.76,20217,24
49228,"MI",2009,41.83,-83.86,116908,231
49229,"MI",2009,41.98,-83.83,76669,83
49230,"MI",2009,42.1,-84.24,246268,324
49232,"MI",2009,41.75,-84.75,37059,54
49233,"MI",2009,42.06,-84.32,57060,58
49234,"MI",2009,42.12,-84.36,76908,80
49235,"MI",2009,41.86,-84.23,35172,37
49236,"MI",2009,42.06,-83.97,105561,129
49237,"MI",2009,42.17,-84.64,62374,62
49238,"MI",2009,41.89,-83.77,33551,42
49240,"MI",2009,42.25,-84.2,220893,285
49241,"MI",2009,42.1,-84.55,42271,51
49242,"MI",2009,41.92,-84.63,223584,308
49245,"MI",2009,42.14,-84.81,72811,124
49246,"MI",2009,42.15,-84.51,84278,122
49247,"MI",2009,41.85,-84.34,90200,108
49248,"MI",2009,41.74,-83.94,18523,24
49249,"MI",2009,42.03,-84.45,73175,82
49250,"MI",2009,41.98,-84.66,97144,119
49251,"MI",2009,42.45,-84.43,127791,188
49252,"MI",2009,42.04,-84.75,41896,64
49253,"MI",2009,41.95,-84.26,66256,71
49254,"MI",2009,42.22,-84.32,60623,79
49255,"MI",2009,41.77,-84.8,18414,27
